拍拍贷	https://ld.ppdai.com/landing/loaninvite/mgmfifthbeinvite.html?inviteid=000067096569123733652596&source=2715&noShare=true#/  #暂时没有做
微信公众平台	https://mp.weixin.qq.com/
爱拍	http://www.aipai.com/
红岭创投	https://sso.my089.com/sso/login
飞卢网	http://u.faloo.com/Regist/Login.aspx
易通贷	https://app.etongdai.com/login/index
大乾柜	https://www.dqgui.com/ind/login.html  # 网站不存在了
5173	https://passport.5173.com/  （随机数a暂时未解决）
万创帮	https://m.wcbchina.com/login/other-login.html?service=https://m.wcbchina.com/my/my.html&bp=https%3A//m.wcbchina.com/login/login.html%3Fservice%3Dhttps%3A//m.wcbchina.com/my/my.html%26bp%3Dhttps%253A//m.wcbchina.com/my/my.html
空中网	https://passport.kongzhong.com/login
金逸电影	http://www.jycinema.com/wap/#/register  （未作）
沃百富	https://epay.10010.com/wop/#
就去兑	http://m.97dui.com/user/accountLogin
1号社区	http://yihaosq.95jw.cn/jiuwuxiaohun.php?m=Admin&c=Publics&a=login  # 网站不存在了
好莱客	http://oa.holike.com/login.jsp
dns	https://www.dns.com/login
T金所	https://weixin.tjinsuo.com/#login/mine
国鑫所	https://wechat.gclfax.com/html/register/login.html
时光网	https://m.mtime.cn/#!/member/signin
鹏华基金	https://aj.phfund.com.cn/login.html
电信	http://login.189.cn/login
开鑫金服	https://www.gkkxd.com/userAuth/login
网易龙剑	http://lj.netease.com/logging.php?action=login
反调试案例1	http://h5.shua03.cn/middle_page/invite?  文件替换
反调试案例2	http://www.sd.10086.cn/emall/login!initLoginUA.action  置空
99安全中心	https://aq.99.com/V3/NDUser_Login.htm
世纪天成	http://www.tiancity.com/homepage/
多玩游戏	https://www.duowan.com/
慕课网	https://class.imooc.com/
丰巢	http://www.fcbox.com/pages/user/login.html
宜贷网	https://www.yidai.com/user/login/
开源中国	https://www.oschina.net/home/login
试客联盟	shikee.com
（金融相关和电信的网站一般都是同一套加密js，不同网站使用方法不同）






青海移动	https://www.iqhmall.cn/shopwap/logon/logon
189邮箱	https://webmail30.189.cn/w2/
长虹	https://passport.changhong.com/login.do?view=vip
pp互娱	http://game.g.pptv.com/user/login/
易班	https://www.yiban.cn/login?go=http%3A%2F%2Fwww.yiban.cn%2F
长安会员	http://scrm.changan.com.cn/scrm-wechat/shareReg/index.html
新商盟	http://www.xinshangmeng.com/xsm2/?Version=2019060900
珍爱网	https://www.zhenai.com/n/login
赏金猎人	http://game.lianzhong.com
上海剑桥学院	http://mids.gench.edu.cn/_customize/passLogin
房天下	https://passport.fang.com/
网利宝	https://www.wanglibao.com/login/login.html
凤凰金融	https://my.fengjr.com/login
好豆通行证	http://login.haodou.com/
百联	https://passport.bl.com/loginDisplay.html
飞牛网	https://passport.feiniu.com/gateway/login
